person_id,gender,gender_confidence,generation,anomalies,total_relations,outgoing_relations,incoming_relations,unique_relation_types,num_parents,num_children,fatherOf,grandfatherOf,greatGrandfatherOf,daughterOf_incoming,granddaughterOf_incoming,grandsonOf_incoming,greatGranddaughterOf_incoming,greatGrandsonOf_incoming,sisterOf,daughterOf,granddaughterOf,motherOf,grandmotherOf,greatGrandmotherOf,auntOf,fatherOf_incoming,motherOf_incoming,grandmotherOf_incoming,grandfatherOf_incoming,brotherOf_incoming,nephewOf_incoming,brotherOf,sonOf,grandsonOf,greatGrandsonOf,nephewOf,sisterOf_incoming,greatGrandmotherOf_incoming,greatGrandfatherOf_incoming,sonOf_incoming,auntOf_incoming,greatUncleOf_incoming,girlFirstCousinOnceRemovedOf,greatGranddaughterOf,nieceOf,secondUncleOf_incoming,uncleOf_incoming,boyCousinOf,boyFirstCousinOnceRemovedOf,boyCousinOf_incoming,secondAuntOf_incoming,secondAuntOf,girlCousinOf,girlCousinOf_incoming,boyFirstCousinOnceRemovedOf_incoming,greatAuntOf_incoming,girlFirstCousinOnceRemovedOf_incoming,greatAuntOf,nieceOf_incoming,uncleOf,greatUncleOf,secondUncleOf,boySecondCousinOf,girlSecondCousinOf_incoming,boySecondCousinOf_incoming,girlSecondCousinOf,has_anomalies,num_anomalies,anomaly_list
helena1099,F,0.6153846153846154,1,[],29,14,15,14,2,0,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,4.0,,3.0,6.0,2.0,2.0,,1.0,,,,,,,,,,False,0,
alina156,F,1.0,0,[],14,7,7,7,0,1,,,,1.0,1.0,,2.0,3.0,,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
jakob835,M,0.6,2,[],25,11,14,14,2,0,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,False,0,
charlotte670,F,0.6666666666666666,1,[],21,10,11,13,2,0,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,1.0,,,4.0,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,False,0,
helena301,F,0.6428571428571429,0,[],39,20,19,18,0,0,,,,,,,,,3.0,2.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,,3.0,,,4.0,4.0,,1.0,,,2.0,,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,False,0,
lara1190,F,0.5833333333333334,1,[],36,18,18,16,2,1,,,,,,,,,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,2.0,2.0,,3.0,,,4.0,4.0,,1.0,,,1.0,,,3.0,2.0,,,,,1.0,,,,,,,,False,0,
sofia28,F,0.625,1,[],26,13,13,13,2,1,,,,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,4.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,False,0,
marko361,M,0.6363636363636364,1,[],18,9,9,12,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,2.0,,,,,False,0,
rene162,M,0.6666666666666666,0,[],14,7,7,8,0,1,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
vincent372,M,0.5555555555555556,1,[],31,15,16,13,2,4,4.0,3.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,,,1.0,,3.0,2.0,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,False,0,
gertrude596,F,0.6666666666666666,1,[],16,9,7,9,2,1,,,,1.0,,,,,1.0,2.0,,1.0,,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,False,0,
leonie1280,Conflict,0.5,2,['gender_conflict'],40,20,20,16,2,2,,,,,,,,,2.0,1.0,4.0,2.0,,,6.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,,2.0,,,,,,,,,,,,5.0,,,,,,,,True,1,gender_conflict
magdalena350,F,0.6363636363636364,2,[],35,19,16,15,2,0,,,,,,,,,1.0,2.0,4.0,,,,2.0,1.0,1.0,2.0,2.0,,2.0,,,,,,1.0,2.0,2.0,,,,2.0,4.0,,2.0,,,,,,,,,,1.0,,4.0,,,,,,,,,False,0,
sophie138,F,0.75,0,[],5,2,3,5,0,1,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
sophie694,F,1.0,0,[],20,11,9,7,0,2,,,,,3.0,1.0,3.0,2.0,,,,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
lina726,F,1.0,0,[],9,5,4,5,0,1,,,,,,2.0,,2.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
sebastian628,M,0.6,0,[],29,17,12,11,0,0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,6.0,7.0,3.0,,,,,,False,0,
vanessa1200,F,0.625,1,[],27,11,16,20,2,0,,,,,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,,,,1.0,2.0,,1.0,,,3.0,,,,,,,,,,,False,0,
angelina1220,F,0.6428571428571429,1,[],37,18,19,18,2,1,,,,,,,,,4.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,3.0,4.0,4.0,2.0,,1.0,,,,,,,,,,False,0,
daniel946,M,0.6666666666666666,1,[],28,13,15,16,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,4.0,3.0,,2.0,2.0,,,,,,,,3.0,2.0,,,,,,2.0,1.0,1.0,,,,,,1.0,,,,,False,0,
benjamin1115,M,0.75,1,[],20,10,10,9,2,1,1.0,3.0,5.0,,1.0,2.0,2.0,3.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
theodor1102,M,1.0,0,[],6,3,3,4,0,1,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
sarah1095,F,0.6666666666666666,1,[],23,13,10,9,2,1,,,,,,,,,2.0,1.0,,1.0,,,6.0,1.0,1.0,,,1.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,False,0,
emil465,M,0.6666666666666666,1,[],36,18,18,16,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,2.0,2.0,4.0,3.0,,2.0,2.0,,,,,,,,3.0,5.0,,3.0,,,,2.0,1.0,,1.0,,,,,2.0,,,,,False,0,
mia293,F,0.5833333333333334,1,[],38,19,19,14,2,3,,,,3.0,,1.0,,,4.0,2.0,4.0,3.0,1.0,,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,False,0,
hannah965,F,0.625,1,[],15,9,6,8,2,2,,,,,,,,,2.0,1.0,,2.0,,,2.0,1.0,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,False,0,
marie894,F,0.6363636363636364,1,[],26,15,11,13,2,4,,,,,1.0,2.0,,,1.0,1.0,2.0,4.0,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,False,0,
benjamin534,M,1.0,0,[],14,7,7,8,0,2,2.0,2.0,3.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
vanessa581,F,0.75,0,[],19,9,10,8,0,2,,,,2.0,,2.0,2.0,3.0,,,,2.0,2.0,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
isabella1021,F,0.6428571428571429,2,[],38,18,20,18,2,0,,,,,,,,,,1.0,4.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,,1.0,,3.0,2.0,4.0,1.0,3.0,,,1.0,2.0,,4.0,3.0,,1.0,,,,,,,,,,,False,0,
sarah437,F,1.0,0,[],2,1,1,2,0,1,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
clara1154,F,0.6363636363636364,2,[],19,10,9,12,2,0,,,,,,,,,1.0,1.0,4.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,False,0,
marie215,F,0.6666666666666666,1,[],31,16,15,13,2,1,,,,,,,,,2.0,2.0,4.0,1.0,,,4.0,1.0,1.0,2.0,2.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,4.0,,,,,,,,False,0,
sofia1199,F,0.6428571428571429,1,[],37,18,19,18,2,0,,,,,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,,2.0,,,4.0,4.0,,2.0,,,1.0,,3.0,3.0,2.0,2.0,,1.0,,,,,,,,,,False,0,
marcel845,M,0.5714285714285714,1,[],23,11,12,10,2,3,3.0,3.0,1.0,2.0,,3.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
lara321,F,0.5454545454545454,2,[],34,17,17,15,2,1,,,,,,,,,4.0,2.0,4.0,1.0,,,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,3.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,False,0,
tobias444,M,0.5833333333333334,1,[],22,12,10,13,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,False,0,
anna842,F,0.75,0,[],20,10,10,8,0,3,,,,1.0,3.0,1.0,,3.0,,,,3.0,4.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
larissa885,F,0.6,2,[],37,18,19,16,2,0,,,,,,,,,1.0,1.0,4.0,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,,,5.0,,4.0,,,1.0,,4.0,3.0,2.0,1.0,,3.0,,,,,,,,,,False,0,
emil837,M,1.0,0,[],10,5,5,7,0,1,1.0,1.0,3.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
florian82,M,0.7777777777777778,0,[],24,14,10,12,0,2,2.0,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,3.0,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,False,0,
emma951,F,0.6666666666666666,0,[],8,4,4,7,0,1,,,,,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
luisa122,F,1.0,0,[],3,1,2,2,0,1,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
lorenz424,M,0.6666666666666666,0,[],19,10,9,10,0,3,3.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
sophie787,F,1.0,0,[],12,7,5,6,0,2,,,,,2.0,2.0,1.0,,,,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
nora825,F,0.5833333333333334,2,[],39,20,19,16,2,0,,,,,,,,,2.0,1.0,4.0,,,,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,1.0,3.0,3.0,,1.0,1.0,,6.0,1.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,False,0,
marie972,F,0.5714285714285714,1,[],13,6,7,11,2,0,,,,,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,False,0,
